id,abbr,longitude,latitude
01,AL,0,0
02,AK,0,0
04,AZ,0,0
05,AR,0,0
06,CA,0,0
08,CO,0,0
09,CT,0,0
10,DE,0,0
11,DC,0,0
12,FL,0,0
13,GA,0,0
15,HI,0,0
16,ID,0,0
17,IL,0,0
18,IN,0,0
19,IA,0,0
20,KS,0,0
21,KY,0,0
22,LA,-20,0
23,ME,0,0
24,MD,0,0
25,MA,0,0
26,MI,0,0
27,MN,0,0
28,MS,0,0
29,MO,0,0
30,MT,0,0
31,NE,0,0
32,NV,0,0
33,NH,0,0
34,NJ,0,0
35,NM,0,0
36,NY,0,0
37,NC,300,0
38,ND,0,0
39,OH,0,0
40,OK,0,0
41,OR,0,0
42,PA,0,0
44,RI,0,0
45,SC,0,0
46,SD,0,0
47,TN,0,0
48,TX,0,0
49,UT,0,0
50,VT,0,0
51,VA,0,0
53,WA,0,0
54,WV,0,0
55,WI,0,0
56,WY,0,0
